Name,Affected Component,HSD URL,Jama URL,Jama ID,id,Artifact Type,HSD ID
IPU Documentation - IPU Feature Enablement,sw.ie_user_guide-ipu,https://hsdes.intel.com/resource/22016072529,https://hsdes.intel.com/resource/22016072529,22016072529,377212,ND SW Requirement,22016072529
IPU Documentation - Tools,sw.ie_tools_docs-ipu,https://hsdes.intel.com/resource/22016072530,https://hsdes.intel.com/resource/22016072530,22016072530,377213,ND SW Requirement,22016072530
IPU Documentation - Compiled Binaries,sw.ie_other_readmes-ipu,https://hsdes.intel.com/resource/22016079018,https://hsdes.intel.com/resource/22016079018,22016079018,377214,ND SW Requirement,22016079018
LCE Performance Expectations - with LAN traffic,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016079157,https://hsdes.intel.com/resource/22016079157,22016079157,377215,ND SW Requirement,22016079157
MDEV Support,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016105642,https://hsdes.intel.com/resource/22016105642,22016105642,377216,ND SW Requirement,22016105642
Report Firmware Version,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016106223,https://hsdes.intel.com/resource/22016106223,22016106223,377217,ND SW Requirement,22016106223
Firmware Download Failure,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016106234,https://hsdes.intel.com/resource/22016106234,22016106234,377218,ND SW Requirement,22016106234
Runtime discovery of PTYPEs,sw.smartnic_linux_idpf,https://hsdes.intel.com/resource/22016283641,https://hsdes.intel.com/resource/22016283641,22016283641,377219,ND SW Requirement,22016283641
ISET - Port-to-MAC Mapping,sw.tools_ipu_system_and_ethernet_toolkit,https://hsdes.intel.com/resource/22016296393,https://hsdes.intel.com/resource/22016296393,22016296393,377220,ND SW Requirement,22016296393
ISET - Display Board ID,sw.tools_ipu_system_and_ethernet_toolkit,https://hsdes.intel.com/resource/22016296394,https://hsdes.intel.com/resource/22016296394,22016296394,377221,ND SW Requirement,22016296394
MDEV Support - Exceed Ring Pairs on Device,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016341381,https://hsdes.intel.com/resource/22016341381,22016341381,377222,ND SW Requirement,22016341381
AES GCM Support,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016342519,https://hsdes.intel.com/resource/22016342519,22016342519,377223,ND SW Requirement,22016342519
Document Clara Peak,sw.ie_user_guide-ipu,https://hsdes.intel.com/resource/22016369568,https://hsdes.intel.com/resource/22016369568,22016369568,377224,ND SW Requirement,22016369568
LCE readme,sw.ie_other_readmes-ipu,https://hsdes.intel.com/resource/22016374384,https://hsdes.intel.com/resource/22016374384,22016374384,377225,ND SW Requirement,22016374384
Protocol ID and PTYPE Metadata,sw.apps_configurable_pipeline_tool,https://hsdes.intel.com/resource/22016468736,https://hsdes.intel.com/resource/22016468736,22016468736,377226,ND SW Requirement,22016468736
Protocol ID and PTYPE Metadata,sw.apps_p4_compiler,https://hsdes.intel.com/resource/22016468748,https://hsdes.intel.com/resource/22016468748,22016468748,377227,ND SW Requirement,22016468748
LCE Performance Expectations - without LAN traffic,sw.smartnic_linux_LCE,https://hsdes.intel.com/resource/22016481636,https://hsdes.intel.com/resource/22016481636,22016481636,377228,ND SW Requirement,22016481636
Init Package: CXP Packet Types,sw.smartnic_fxp_cxp_package,https://hsdes.intel.com/resource/22016490848,https://hsdes.intel.com/resource/22016490848,22016490848,377229,ND SW Requirement,22016490848
ISET - IMC rootfs Layout,sw.media_ipu_sdk,https://hsdes.intel.com/resource/22016502994,https://hsdes.intel.com/resource/22016502994,22016502994,377230,ND SW Requirement,22016502994
